,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
1259,자이에스앤디,9390.0,82260.0,38782.0,378593,65.9800033569336,27342000000.0,7.679999828338623,32288.0,3642.0,1.5,154.25999450683594,15.5600004196167,202012,1.0395217535702423,0.6744720586122683,6.7797833935018055,9.350000381469727,13.59000015258789,219.0,248.0,271.0,260.0,176.0,998.0
942,쿠쿠홀딩스,19300.0,105969.0,3556.0,572989,37.349998474121094,102342000000.0,17.40999984741211,105879.0,6864.0,3.4100000858306885,21.56999969482422,1117.2900390625,202012,0.8347750865051903,1.088304950941694,8.562555456965395,5.309999942779541,14.880000114440918,164.0,342.0,317.0,178.0,48.5,1001.0
770,SBS미디어홀딩,1930.0,360542.0,69948.0,135986,0.0,-5938000000.0,-3.5899999141693115,995.0,2700.0,0.0,37.08000183105469,0.0,202012,0.5036534446764092,1.4777947932618682,47.073170731707314,0.0,-11.930000305175781,40.0,397.0,496.0,68.0,444.0,1001.0
347,디티알오토모티,69200.0,104564.0,4997.0,721992,-11.0,71407000000.0,8.670000076293945,111598.0,6916.0,2.890000104904175,46.90999984741211,24.950000762939453,202012,1.0439452683029855,0.7424574052615768,5.735598839618732,10.869999885559082,7.480000019073486,222.0,263.0,230.0,288.0,69.0,1003.0
295,대림B&Co,8230.0,693804.0,16672.0,117010,-58.2400016784668,1726000000.0,0.7400000095367432,10483.0,1372.0,1.5700000524520874,106.73999786376953,0.7400000095367432,202012,0.8528497409326425,0.5585720103162752,5.169597989949748,25.09000015258789,-1.0499999523162842,169.0,217.0,206.0,414.0,165.5,1006.0
494,유니드,114000.0,57414.0,44449.0,1098609,13.5600004196167,96249000000.0,10.8100004196167,149352.0,10134.0,1.2200000286102295,43.31999969482422,11.350000381469727,202012,1.084082998915917,1.0435546767726698,6.448328525369082,5.789999961853027,10.289999961853027,230.0,335.0,258.0,189.0,204.0,1012.0
755,웅진씽크빅,3695.0,639885.0,58700.0,503681,-35.380001068115234,13993000000.0,2.1700000762939453,59857.0,4268.0,2.9700000286102295,77.75,1.340000033378601,202012,1.1801341424465026,0.6216352624495289,5.755451713395638,11.84000015258789,0.23000000417232513,249.0,233.0,233.0,299.0,60.5,1014.0
402,한창제지,2205.0,1502584.0,29833.0,169496,58.959999084472656,17247000000.0,10.0600004196167,24471.0,1316.0,0.8999999761581421,91.19999694824219,11.739999771118164,202012,1.2879672897196262,0.7577319587628866,5.6106870229007635,9.220000267028809,11.720000267028809,272.0,267.0,222.0,258.0,245.5,1019.0
618,한국토지신탁,2335.0,28298622.0,252489.0,366440,-21.360000610351562,93834000000.0,39.52000045776367,100935.0,5896.0,3.8499999046325684,67.33999633789062,0.0,202012,0.6215065211605004,2.4866879659211927,8.616236162361623,5.340000152587891,9.4399995803833,82.0,441.0,318.0,180.0,35.0,1021.0
444,태림포장,4130.0,187909.0,35402.0,265642,-54.20000076293945,9537000000.0,1.7000000476837158,35633.0,2924.0,7.019999980926514,74.69999694824219,2.5199999809265137,202012,0.9084909810822701,0.46425359712230213,7.777777777777778,16.850000381469727,0.9700000286102295,190.0,176.0,298.0,358.0,1.0,1022.0
408,엔케이물산,2670.0,4526409.0,8061.0,734762,0.0,-2409000000.0,-7.070000171661377,4294965329.0,2152.0,0.0,11.100000381469727,0.0,202012,3.414322250639386,4.603448275862069,-65.1219512195122,0.0,7.039999961853027,471.0,474.0,13.0,68.0,444.0,1026.0
372,서흥,43850.0,87490.0,6084.0,678887,56.77000045776367,74317000000.0,13.4399995803833,108674.0,5073.0,1.0199999809265137,103.19000244140625,8.649999618530273,202012,1.3382366405224768,0.8674751231478367,4.790255625955866,9.329999923706055,16.729999542236328,284.0,288.0,196.0,259.0,232.5,1027.0
573,이구산업,3845.0,1664295.0,16721.0,148354,807.260009765625,5874000000.0,2.890000104904175,11084.0,1286.0,0.7799999713897705,165.63999938964844,1.7899999618530273,202012,1.1536153615361535,0.45855694692904,10.680555555555555,9.420000076293945,1.8600000143051147,245.0,175.0,347.0,261.0,271.0,1028.0
527,풀무원,16850.0,45489.0,19060.0,1011188,50.369998931884766,45970000000.0,1.9900000095367432,167115.0,6423.0,0.6000000238418579,230.1699981689453,1.690000057220459,202012,1.5743249556199197,0.29607632970778935,3.4713638236505973,40.11000061035156,3.8399999141693115,336.0,94.0,142.0,457.0,292.0,1029.0
